ID,Pueblo,latitud,longitud,numero_artesanos
1,ABADIÑO,43.1531317,-2.6078471,2
2,AMOREBIETA-ETXANO,43.2201761,-2.7323154,5
3,AREATZA,43.1214494,-2.7694128,1
4,ARRIETA,43.3416679,-2.7693167,1
5,ARRIGORRIAGA,43.2065921,-2.8873537,1
6,ARTEA,43.1334436,-2.7843203,1
7,ATXONDO,43.1302284,-2.5856042,2
8,BAKIO,43.4284384,-2.8090387,1
9,BALMASEDA,43.1940413,-3.1945492,2
10,BARAKALDO,43.29548,-2.9900933,7
11,BARRIKA,43.4039103,-2.9627592,1
12,BASAURI,43.235372,-2.8920543,2
13,BERANGO,43.3628719,-2.9957746,3
14,BERMEO,43.4194242,-2.7231562,5
15,BERRIZ,43.1690476,-2.57392,1
16,BILBAO,43.2630018,-2.9350039,73
17,DIMA,43.1430694,-2.7508974,1
18,DURANGO,43.1707065,-2.6334897,4
19,ELORRIO,43.1304644,-2.5426453,2
20,ERANDIO,43.3055981,-2.9729697,3
21,EREÑO,43.3510437,-2.6162545,1
22,ETXEBARRI,43.2473784,-2.8898182,1
23,ETXEBARRIA,43.2549832,-2.4787005,1
24,GALDAKAO,43.2332639,-2.8453385,2
25,GAMIZ-FIKA,43.3138723,-2.8248188,1
26,GERNIKA-LUMO,43.3143976,-2.6778593,5
27,GETXO,43.3479409,-3.0087671,10
28,GIZABURUAGA,43.331607,-2.5391336,1
29,GORDEXOLA,43.179851,-3.0737749,1
30,GORLIZ,43.4127349,-2.9375015,2
31,KARRANTZA HARANA/VALLE DE CARRANZA,43.2057433,-3.3639367,1
32,KORTEZUBI,43.3408832,-2.6554179,2
33,LANESTOSA,43.2184716,-3.4391344,2
34,LARRABETZU,43.2612471,-2.7959022,1
35,LEIOA,43.3271048,-2.9846079,2
36,LEKEITIO,43.3637081,-2.5059965,1
37,MARKINA-XEMEIN,43.2675586,-2.4974864,2
38,MUNDAKA,43.407824,-2.6992833,1
39,MUNGIA,43.3540663,-2.8464157,7
40,MUXIKA,43.2896199,-2.6891984,2
41,OROZKO,43.1068473,-2.9120602,1
42,ORTUELLA,43.3105667,-3.0555981,3
43,OTXANDIO,43.0408347,-2.6542222,3
44,PORTUGALETE,43.3191292,-3.0199529,4
45,SANTURTZI,43.3287527,-3.0318766,2
46,SESTAO,43.309341,-3.0074501,2
47,SONDIKA,43.2979405,-2.9272819,1
48,SOPELA,43.3802735,-2.9838326,1
49,SOPUERTA,43.2548196,-3.1703684,2
50,URDULIZ,43.3730262,-2.9482016,1
51,URDUÑA/ORDUÑA,42.994926,-3.009915,1
52,VALLE DE TRAPAGA-TRAPAGARAN,43.303062,-3.0392135,1
53,ZALDIBAR,43.1697719,-2.548773,1
54,ZEANURI,43.0984018,-2.7494734,2
